"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @FIFAWorldCup: Still in awe 😮

#FIFAWorldCup | #Qatar2022 https://t.co/de4VGuVBN5",FALSE,0,NA,2022-11-25 08:32:02,FALSE,NA,"1596059119966121984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","StI4nwNKwMsibEI",2548,TRUE,FALSE,NA,NA
"RT @Georgeb_w: Selling x2 England vs wales World Cup tickets cat 1 block 138 by the corner flag lower tier sitting next to eachother #Qatar…",FALSE,0,NA,2022-11-25 08:32:01,FALSE,NA,"1596059118384586752",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Billie_lycett17",1,TRUE,FALSE,NA,NA
"RT @GhanaBlackstars: 𝗙𝗨𝗟𝗟 𝗧𝗜𝗠𝗘 

𝗣𝗢𝗥𝗧𝗨𝗚𝗔𝗟 3️⃣ - 2️⃣𝗚𝗛𝗔𝗡𝗔

⚽️ Ronaldo 64’ *pen, Joao Felix 77’, Rafael Leao 79’ | Andre Ayew 72’, Osman Buka…",FALSE,0,NA,2022-11-25 08:32:01,FALSE,NA,"1596059118208520192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SerengetiBoy",660,TRUE,FALSE,NA,NA
"RT @felaskechayi: Navid Afkari, a champion wrestler, was executed by Iran's regime on 12 Sept 2020. Navid was tortured into making confessi…",FALSE,0,NA,2022-11-25 08:32:01,FALSE,NA,"1596059116207833089",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ATCG051610621",77,TRUE,FALSE,NA,NA
"RT @FIFAWorldCup: Tidying up after one of their greatest #FIFAWorldCup wins 👏 

Huge respect to these Japanese fans 🙌 

#Qatar2022 https://…",FALSE,0,NA,2022-11-25 08:32:01,FALSE,NA,"1596059115972722688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JeanAudrey18",22030,TRUE,FALSE,NA,NA
"Who's playing today? #WorldCup #Qatar2022",FALSE,0,NA,2022-11-25 08:32:00,FALSE,NA,"1596059113754341378",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ojeikx",0,FALSE,FALSE,NA,NA
"RT @panahmh: Khodanur Lejjei,Also loved Football but he was shot with BULLETS during IRAN Protests 2022 by security forces.Police denied hi…",FALSE,0,NA,2022-11-25 08:32:00,FALSE,NA,"1596059111845728256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shayden72",2,TRUE,FALSE,NA,NA
"RT @felaskechayi: Amin Bazrgar, a wrestler, went missing after his support for his executed friend, Navid Afkari, in July 2020. He informed…",FALSE,0,NA,2022-11-25 08:32:00,FALSE,NA,"1596059111644614656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Azarember",74,TRUE,FALSE,NA,NA
"Sarina Esmaeil Zade was 16 yo pretty girl, who loved sports, especially volleyball, and wants to be a YouTube influ… https://t.co/Kw02D2h8NR",FALSE,0,NA,2022-11-25 08:32:00,TRUE,NA,"1596059110847696904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","artemia__salina",0,FALSE,FALSE,NA,NA
"#SamanYasin a singer from Kermanshah, who was arrested by the security forces during protests in Iran, is sentenced… https://t.co/d0r0EfoeRR",FALSE,0,NA,2022-11-25 08:31:59,TRUE,NA,"1596059109324775424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","withtheaynaz",0,FALSE,FALSE,NA,NA
"RT @felaskechayi: Ghazaleh Chalabi, a 33-year-old mountaineer, was shot in the head on Sept 21, by the Iranian regime. She filmed the momen…",FALSE,0,NA,2022-11-25 08:31:59,FALSE,NA,"1596059108826058753",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mooondot",30,TRUE,FALSE,NA,NA
"RT @callmeowlhuh: @justchangingun #VoriaGhafouri, Iranian footballer and former national team member was kidnapped by the Islamic Republic.…",FALSE,0,NA,2022-11-25 08:31:59,FALSE,NA,"1596059108654055425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_0512clover",1,TRUE,FALSE,NA,NA
"RT @felaskechayi: Amin Bazrgar, a wrestler, went missing after his support for his executed friend, Navid Afkari, in July 2020. He informed…",FALSE,0,NA,2022-11-25 08:31:59,FALSE,NA,"1596059107676639235",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ATCG051610621",74,TRUE,FALSE,NA,NA
"RT @hmins93: Hamidreza Rouhi,Also loved football but Islamic Republic is massacring Iran’s youth!
3 day ago he was brutally killed by secur…",FALSE,0,NA,2022-11-25 08:31:59,FALSE,NA,"1596059106673950720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rey_the_villain",19,TRUE,FALSE,NA,NA
"@FIFAWorldCup @richarlison97 Erfan Nazari
Killed by the Islamic regime on September 29, 2022
#MahsaAmini… https://t.co/wKNeP1xvgg",FALSE,0,"FIFAWorldCup",2022-11-25 08:31:58,TRUE,"1595884664115412993","1596059105738821634","138372303","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Zombie1vampire",0,FALSE,FALSE,NA,NA
"RT @Shadowmoonmoon: We don't support this Iranian football team, because they don't stand up for other athletes who are brutally suppressed…",FALSE,0,NA,2022-11-25 08:31:58,FALSE,NA,"1596059104731987969",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ardavan_nobari",29,TRUE,FALSE,NA,NA
"RT @felaskechayi: Ali Mozaffari, a 17-year-old professional volleyball player, was shot dead on September 21 by the Iranian regime's forces…",FALSE,0,NA,2022-11-25 08:31:57,FALSE,NA,"1596059101876092928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","psycrose",13,TRUE,FALSE,NA,NA
"RT @FIFAWorldCup: This one goes out to all the bosses out there ❤️

#FIFAWorldCup | #Qatar2022 https://t.co/1rYBFtdGhr",FALSE,0,NA,2022-11-25 08:31:57,FALSE,NA,"1596059100378705922",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","honyagreenlabel",22436,TRUE,FALSE,NA,NA
